# Time_CO_(M)_Eth_(M)_VOC_(M)_NO₂_(G)_Eth_(G)_VOC_(G)_CO_(G)
0.0000 22.3600 28.6410 8.4990 0.7310 0.6500 0.0750 0.0460
0.0063 22.3600 28.6410 8.4990 0.7300 0.6500 0.0760 0.0470
0.0073 22.3600 28.6410 8.4990 0.7300 0.6500 0.0760 0.0470
0.0083 22.3600 28.6410 8.4990 0.7300 0.6500 0.0760 0.0460
0.0093 22.3600 28.6410 8.4990 0.7310 0.6510 0.0760 0.0470
0.0113 22.3600 28.6410 8.4990 0.7310 0.6500 0.0760 0.0460
0.0123 22.3600 28.6410 8.4990 0.7300 0.6510 0.0760 0.0460
0.0133 22.3600 28.6410 8.4990 0.7310 0.6500 0.0760 0.0460
0.1583 22.3600 28.6410 8.4990 0.7300 0.6510 0.0760 0.0460
0.4553 22.9140 29.5740 8.7390 0.7310 0.6510 0.0760 0.0460
0.6616 22.3600 28.6410 8.4990 0.7300 0.6490 0.0760 0.0460
1.2019 22.3600 28.6410 8.4990 0.7300 0.6500 0.0760 0.0460
1.6397 22.3600 28.6410 8.4990 0.7300 0.6500 0.0760 0.0460
1.9902 22.9140 29.5740 8.7390 0.7310 0.6500 0.0760 0.0460
2.1946 23.4720 30.5190 8.9800 0.7300 0.6500 0.0760 0.0460
2.4233 23.4720 30.5190 8.9800 0.7310 0.6520 0.0770 0.0470
2.8983 22.9140 29.5740 8.7390 0.7330 0.6510 0.0760 0.0470
3.1173 23.4720 30.5190 8.9800 0.7360 0.6500 0.0770 0.0470
3.1893 23.4720 30.5190 8.9800 0.7370 0.6500 0.0770 0.0470
3.5863 22.9140 29.5740 8.7390 0.7380 0.6500 0.0770 0.0470
3.7049 22.9140 29.5740 8.7390 0.7380 0.6500 0.0770 0.0470
3.9441 23.4720 30.5190 8.9800 0.7390 0.6500 0.0770 0.0470
4.1802 23.4720 30.5190 8.9800 0.7400 0.6500 0.0780 0.0480
4.4608 23.4720 30.5190 8.9800 0.7420 0.6510 0.0780 0.0470
4.6840 23.4720 30.5190 8.9800 0.7420 0.6510 0.0780 0.0470
4.9244 23.4720 30.5190 8.9800 0.7430 0.6510 0.0780 0.0480
5.2004 23.4720 30.5190 8.9800 0.7450 0.6510 0.0780 0.0480
5.4534 23.4720 30.5190 8.9800 0.7450 0.6500 0.0780 0.0480
5.6886 23.4720 30.5190 8.9800 0.7470 0.6510 0.0780 0.0480
5.9145 23.4720 30.5190 8.9800 0.7480 0.6510 0.0790 0.0470
6.1709 24.0330 31.4760 9.2240 0.7480 0.6510 0.0790 0.0480
6.4492 23.4720 30.5190 8.9800 0.7490 0.6510 0.0790 0.0480
6.6650 23.4720 30.5190 8.9800 0.7490 0.6500 0.0790 0.0480
6.9427 23.4720 30.5190 8.9800 0.7500 0.6520 0.0800 0.0480
7.1970 23.4720 30.5190 8.9800 0.7520 0.6520 0.0800 0.0480
7.4457 23.4720 30.5190 8.9800 0.7520 0.6520 0.0800 0.0480
7.6826 23.4720 30.5190 8.9800 0.7520 0.6520 0.0800 0.0490
8.0942 23.4720 30.5190 8.9800 0.7530 0.6520 0.0810 0.0490
